epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro
1,1.336289931853158,0.33674857142857145,1.3529424843597413,0.3304533333333333,0.2571650957171987
2,1.322670210244315,0.34838285714285716,1.263688185602824,0.338,0.2674683997581176
3,1.2339241862324306,0.38907714285714284,1.1494932445398967,0.46096,0.46340744125116096
4,1.1555542859813146,0.4560314285714286,1.0758164951197307,0.5003333333333333,0.5009634796097413
5,1.0652964810344152,0.5198742857142857,1.052559417889913,0.5193733333333334,0.507000572663287
6,1.0136054249382018,0.5517057142857142,1.0379918549982707,0.55984,0.554242290682132
7,0.9784896108136858,0.5778657142857143,0.8869784204991659,0.62896,0.6261769897604481
8,0.912101101927076,0.61966,0.849541723912557,0.6473866666666667,0.6486632016992886
9,0.8506299379512242,0.6530114285714286,0.7789928307024638,0.6869066666666667,0.6838846414648445
10,0.8108793019349234,0.6702714285714285,0.7542761787859599,0.6971333333333334,0.6952687010339246
11,0.7786046695790972,0.6895342857142858,0.7040286783281962,0.72836,0.7236939221563012
12,0.7010840182822091,0.7345457142857142,0.6341519671312968,0.7606533333333333,0.755477165131531
13,0.6624284810938154,0.7517942857142857,0.6160564982541402,0.7686,0.7641984379373116
14,0.6427595894513811,0.7607314285714286,0.5898102619298299,0.77868,0.7738232728827308
15,0.6315003341647557,0.7640857142857143,0.6080250182151794,0.7730933333333333,0.7691417361367217
16,0.6212304681205749,0.7685514285714286,0.6204755618349711,0.77076,0.7681139226274749
17,0.6158823726027353,0.77032,0.5675182213274638,0.7870533333333334,0.7826523864029993
18,0.6086994787897383,0.7728171428571429,0.589926724764506,0.7806533333333333,0.7775059960175265
19,0.5983163506671361,0.7772342857142858,0.6074615819040934,0.7665333333333333,0.764034411338034
20,0.6510387171200344,0.7510942857142857,0.5893018985939026,0.7826266666666667,0.7783445787591282
