epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro
1,1.313741483884539,0.35119428571428574,1.2796051990509034,0.38592,0.33624413411621373
2,1.3142895064435687,0.3517571428571429,1.363592962926229,0.3126933333333333,0.2365110512333139
3,1.335289657625471,0.3477742857142857,1.2709642185846965,0.38924,0.3728235436488248
4,1.2603272367749896,0.3893457142857143,1.175601328455607,0.45632,0.43379566632808364
5,1.0461871129935127,0.5238771428571428,0.8623390546862284,0.642,0.6386952074910349
6,0.8655785751233782,0.6451971428571428,0.7605450501759847,0.6972133333333334,0.6961817398617403
7,0.7979265742465428,0.6760742857142857,0.7402709020233155,0.6958133333333333,0.6968871478682617
8,0.7331702149772644,0.7081571428571428,0.6795960378964742,0.72824,0.7284074596809704
9,0.702755968889509,0.7250371428571428,0.6286034920565288,0.7545466666666667,0.7539646470691852
10,0.6569599228368487,0.7444514285714285,0.6059873798179627,0.7635066666666667,0.7627708394605707
11,0.6169024553108216,0.7613257142857143,0.6150878373146057,0.75284,0.7524712254076146
12,0.5820659277479989,0.7749971428571428,0.5125201556968689,0.8040266666666667,0.8022109481312932
13,0.5387859154537746,0.7958428571428572,0.47909847436269126,0.8179466666666667,0.8166234040391345
14,0.5062006896972656,0.8104828571428572,0.4710874811903636,0.82068,0.8188827710995847
15,0.4859639730671474,0.8180942857142857,0.44243278924942014,0.833,0.8306625101950591
16,0.4762558234351022,0.82186,0.4406568346341451,0.8342666666666667,0.8326007459489153
17,0.4607154816000802,0.8277085714285715,0.4265796592998505,0.8387333333333333,0.836877122573745
18,0.4511030646978106,0.8318942857142857,0.42303913066864013,0.8400666666666666,0.8379623710413076
19,0.4393310422325134,0.8363771428571428,0.42061383197466534,0.8418133333333333,0.8403614738280025
20,0.4315781614330837,0.8392771428571428,0.40574642881711326,0.8479866666666667,0.8463553559144394
