epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro
1,1.371546714744568,0.3017742857142857,1.3601383410644532,0.32052,0.24993895303356756
2,1.3459583155223303,0.32170857142857145,1.2782291923268636,0.38942666666666664,0.33796273605402133
3,1.2949272343826295,0.36342,1.2614933499908447,0.39814666666666665,0.3559762673748843
4,1.225977691241673,0.40794,1.1345889155451456,0.4672,0.4650127220884685
5,1.1077250606209892,0.49797142857142856,1.006543314965566,0.5722933333333333,0.5766027602851377
6,1.0240899331447055,0.5563542857142857,0.9916342566553752,0.57544,0.5773022914012951
7,0.9951085668536594,0.5745914285714285,0.9919813721593221,0.5607466666666666,0.5576755206547164
8,0.9703259803336007,0.5856857142857143,0.9313832061831157,0.6018,0.6009208131653855
9,0.9660855348178319,0.5865,1.0141196121724447,0.5660533333333333,0.5670692720295223
10,0.9856077325711932,0.5802571428571428,0.9218005823771159,0.61252,0.6118033709280628
11,0.9482713415391104,0.5960428571428571,0.9081881493886312,0.61468,0.6158341097608275
12,0.9260760926355635,0.6078228571428571,0.875317783870697,0.6311866666666667,0.6341360345393102
13,0.9103545569038392,0.6155714285714285,0.8834510859743754,0.6282666666666666,0.6230871665324419
14,0.886082613130297,0.6309571428571429,0.8978963634999593,0.63164,0.6320839624321497
15,0.8692058631025041,0.6398228571428571,0.8005949125989278,0.6842133333333333,0.6821421239396812
16,0.813476010445186,0.6734714285714286,0.8159101913642883,0.6655733333333334,0.6647021798986366
17,0.775716716104235,0.69084,0.878672912902832,0.6391333333333333,0.6380511091384886
18,0.746504264730726,0.7098028571428572,0.7236582870992024,0.71944,0.7173098274725109
19,0.6854840542139325,0.74192,0.6181435949897766,0.7686133333333334,0.7644409657328081
20,0.6460102589988709,0.7587628571428572,0.6226723866653442,0.7678666666666667,0.7643117574537597
