position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_neutral,p_pre_transition,p_transition
28,55.189,780.0564531223938,0.0021511304069742653,-0.056775375150176007,0.6554975130974867,forced,Ba,0.021933173153515013,0.9780668268464848,0.9780668268464848
28,55.189,780.0564531223938,0.0021511304069742653,-0.056775375150176007,0.6554975130974867,forced,Ba,0.021933173153515013,0.9780668268464848,0.9780668268464848
29,55.149,783.4676604811256,0.0069637574741582605,-0.056775375150176007,0.6554975130974867,forced,Ba,0.02195640166434839,0.9780435983356516,0.9780435983356516
30,55.11,737.5773442892767,0.06902272388223998,-0.056775375150176007,0.6554975130974867,forced,Ba,0.021540046120274426,0.9784599538797256,0.9784599538797256
30,55.11,737.5773442892767,0.06902272388223998,-0.056775375150176007,0.6554975130974867,forced,Ba,0.020785732789311062,0.9792142672106889,0.9792142672106889
31,55.07,711.4516097469673,-0.07736583900048492,-0.056775375150176007,0.6554975130974867,forced,Ba,0.020332986131524306,0.9796670138684754,0.9796670138684754
32,55.03,458.6146142356683,-0.02330908652204063,-0.056775375150176007,0.6554975130974867,forced,Ba,0.004848158723945742,0.9951518412760542,0.9951518412760542
33,54.99,455.4560027265475,-0.022386265397311044,-0.056775375150176007,0.6554975130974867,forced,Ba,1.0679950296776537e-09,0.9999999989320051,0.9999999989320051
33,54.99,455.4560027265475,-0.022386265397311044,-0.056775375150176007,0.6554975130974867,forced,Ba,9.016886491508347e-10,0.9999999990983114,0.9999999990983114
34,54.95,461.1594299058174,-0.020326155828280377,-0.056775375150176007,0.6554975130974867,forced,Ba,1.1831845685221495e-09,0.9999999988168154,0.9999999988168154
35,54.91,474.5946935924691,0.008604768938367076,-0.056775375150176007,0.6554975130974867,forced,Ba,2.458503755017628e-09,0.9999999975414962,0.9999999975414962
36,54.871,491.41358346312256,0.0568432362459338,-0.056775375150176007,0.6554975130974867,forced,Ba,7.123878089356487e-09,0.9999999928761218,0.9999999928761218
36,54.871,491.41358346312256,0.0568432362459338,-0.056775375150176007,0.6554975130974867,forced,Ba,1.3281663328337404e-08,0.9999999867183366,0.9999999867183366
37,54.831,448.9103749521418,0.11869700166274366,-0.056775375150176007,0.6554975130974867,forced,Ba,6.565531142293559e-10,0.999999999343447,0.999999999343447
38,54.791,438.10476120556933,0.12900405053348846,-0.056775375150176007,0.6554975130974867,forced,Ba,1.2334870485820557e-11,0.9999999999876652,0.9999999999876652
39,54.751,451.7983529563506,0.09994221512406957,-0.056775375150176007,0.6554975130974867,forced,Ba,1.7913604130810312e-11,0.9999999999820864,0.9999999999820864
39,54.751,451.7983529563506,0.09994221512406957,-0.056775375150176007,0.6554975130974867,forced,Ba,5.5135943747185314e-11,0.9999999999448641,0.9999999999448641
40,54.711,426.24253540644736,0.166379168598891,-0.056775375150176007,0.6554975130974867,forced,Ba,5.876176759577185e-12,0.9999999999941238,0.9999999999941238
41,54.672,435.23485872810136,0.1204896013733389,-0.056775375150176007,0.6554975130974867,forced,Ba,1.7667685475067176e-12,0.9999999999982332,0.9999999999982332
42,54.632,374.89100133134696,0.274079634118626,-0.056775375150176007,0.6554975130974867,forced,Ba,3.178465237900568e-14,0.9999999999999681,0.9999999999999681
42,54.632,374.89100133134696,0.274079634118626,-0.056775375150176007,0.6554975130974867,forced,Ba,3.00000089999998e-14,0.9999999999999699,0.9999999999999699
43,54.592,419.02179778629545,0.10778550976645586,-0.056775375150176007,0.6554975130974867,forced,Ba,3.00000089999998e-14,0.9999999999999699,0.9999999999999699
44,54.552,407.82788173632434,0.1706108159079053,-0.056775375150176007,0.6554975130974867,forced,Ba,3.295353001775021e-13,0.9999999999996704,0.9999999999996704
45,54.512,433.8819324461617,0.17088195454595703,-0.056775375150176007,0.6554975130974867,forced,Ba,3.029641578464491e-13,0.9999999999996971,0.9999999999996971
45,54.512,433.8819324461617,0.17088195454595703,-0.056775375150176007,0.6554975130974867,forced,Ba,1.3517434690692578e-12,0.9999999999986482,0.9999999999986482
46,54.472,576.7335472524826,0.30615882947522205,-0.056775375150176007,0.6554975130974867,forced,Ba,8.717596649896887e-09,0.9999999912824034,0.9999999912824034
47,54.433,576.4156904035916,0.2790453281571055,-0.056775375150176007,0.6554975130974867,forced,Ba,1.2361908272083421e-05,0.999987638091728,0.999987638091728
48,54.393,556.2661547202212,0.2470809464830706,-0.056775375150176007,0.6554975130974867,forced,Ba,6.0823854831892335e-06,0.9999939176145168,0.9999939176145168
48,54.393,556.2661547202212,0.2470809464830706,-0.056775375150176007,0.6554975130974867,forced,Ba,2.7053679300762506e-06,0.9999972946320699,0.9999972946320699
49,54.353,539.4701116368285,0.3428606150685574,-0.056775375150176007,0.6554975130974867,forced,Ba,9.422362847061532e-07,0.9999990577637152,0.9999990577637152
50,54.313,523.4403747348936,0.37880867316654065,-0.056775375150176007,0.6554975130974867,forced,Ba,1.0119240602679055e-07,0.999999898807594,0.999999898807594
51,54.273,547.682912393554,0.29992168420219306,-0.056775375150176007,0.6554975130974867,forced,Ba,1.8897299251671435e-07,0.9999998110270075,0.9999998110270075
51,54.273,547.682912393554,0.29992168420219306,-0.056775375150176007,0.6554975130974867,forced,Ba,9.013039888811833e-07,0.9999990986960111,0.9999990986960111
52,54.233,547.7137681762252,0.2992335836342438,-0.056775375150176007,0.6554975130974867,forced,Ba,9.043305483940446e-07,0.9999990956694516,0.9999990956694516
53,54.194,546.4004312460675,0.2966129128859464,-0.056775375150176007,0.6554975130974867,forced,Ba,8.532368835585263e-07,0.9999991467631164,0.9999991467631164
54,54.154,548.2447249429109,0.29600516484581263,-0.056775375150176007,0.6554975130974867,forced,Ba,8.84435520724308e-07,0.9999991155644793,0.9999991155644793
54,54.154,548.2447249429109,0.29600516484581263,-0.056775375150176007,0.6554975130974867,forced,Ba,9.743545257307735e-07,0.9999990256454742,0.9999990256454742
55,54.114,553.1309849609196,0.2703674584933213,-0.056775375150176007,0.6554975130974867,forced,Ba,1.3306960755514003e-06,0.9999986693039244,0.9999986693039244
56,54.074,548.6529100920709,0.20674526806115814,-0.056775375150176007,0.6554975130974867,forced,Ba,1.7085702718623256e-06,0.9999982914297282,0.9999982914297282
57,54.034,540.9683274732504,0.23174893840227637,-0.056775375150176007,0.6554975130974867,forced,Ba,1.0522708087457389e-06,0.9999989477291912,0.9999989477291912
