epoch,train_loss,train_acc,val_loss,val_acc
1,1.2496075679222889,0.3916257142857143,0.9363551298506024,0.60528
2,0.9547902328222717,0.5968257142857143,1.0466990564463488,0.5561066666666666
3,1.2310815154307504,0.40529714285714286,1.223269297401246,0.4210933333333333
4,1.0552689640134083,0.5387371428571428,0.8723715662752809,0.6530533333333334
5,0.8934443921232136,0.6456028571428571,0.7834225625511729,0.6956266666666666
6,0.8093753627710848,0.6846771428571429,0.7285537474594832,0.7162933333333333
7,0.7587132783977816,0.7055942857142857,0.6748689810265454,0.7385466666666667
8,0.6957955973021945,0.73166,0.6089161868896907,0.7676266666666667
9,0.7133535152488478,0.7220857142857143,0.6207842359974116,0.76052
10,0.5960523479490437,0.7751885714285714,0.48634695732145994,0.8198933333333334
11,0.5230433026223121,0.80684,0.448666516424446,0.8326
12,0.4890527903870211,0.8203485714285714,0.42585014544249394,0.8417333333333333
13,0.465436694679792,0.8294257142857143,0.40884815303945704,0.8494266666666667
14,0.44495497888032437,0.8369628571428571,0.3959330896061842,0.8522933333333333
15,0.4290956821748936,0.8430142857142857,0.3826578635557113,0.85816
16,0.4150109733262489,0.8481057142857142,0.3772377757285642,0.85976
17,0.40512651988531595,0.8517971428571428,0.36883717869430677,0.8630266666666667
18,0.39464775669836255,0.8558857142857142,0.3692117561506737,0.863
19,0.3872286480567137,0.8585571428571429,0.3647840711138761,0.86488
20,0.380817829216856,0.8608171428571428,0.35455843986809865,0.8690533333333333
