position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_fold,p_hopf,p_transcritical,p_null,p_transition
182,12.771,537.2253162500498,-0.03072453585678331,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.34198633,0.3851587,0.27275753,9.742028e-05,0.9999026
186,12.743,541.1339973233048,-0.0336443492792281,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.37423885,0.36243045,0.26323515,9.558435e-05,0.9999044
191,12.708,558.5084340699109,-0.015791665558501936,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.4577446,0.33389142,0.20834702,1.6958484e-05,0.999983
196,12.673,581.9626382661912,-0.07112504877862441,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.26153553,0.56213593,0.17630552,2.2990436e-05,0.999977
200,12.644,585.5789976607097,-0.07235262281431953,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.319018,0.46853787,0.21239386,5.0291404e-05,0.9999497
205,12.608,586.7551931460678,-0.07670602980247605,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.33234462,0.42473316,0.24286473,5.7445734e-05,0.99994254
210,12.573,592.1464007441363,-0.06958420419795569,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.38834167,0.36031264,0.25128734,5.8353733e-05,0.99994165
214,12.545,592.3318281680198,-0.047605009035019734,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.40297693,0.30846107,0.28849518,6.6790024e-05,0.9999332
219,12.51,601.5880057672116,-0.032529926256013336,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.42346185,0.2860057,0.2904877,4.4756584e-05,0.99995524
224,12.474,594.0841573139567,-0.03115825228587939,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.41458005,0.2779012,0.30745804,6.076273e-05,0.99993926
228,12.446,612.160980091908,-0.023090886444355318,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.38031298,0.31209236,0.30754134,5.3349988e-05,0.99994665
233,12.411,614.2959089589204,-0.03612677365539653,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.38469905,0.30815226,0.30709237,5.632917e-05,0.9999437
238,12.375,623.7919943850225,-0.03811913507228291,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.40880948,0.28861257,0.30250752,7.043502e-05,0.99992955
243,12.337,622.9583763495447,-0.037633219329238195,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.43659484,0.25817782,0.3051689,5.8388698e-05,0.9999416
247,12.307,631.3573357701783,-0.02796012367595194,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.45386234,0.2439917,0.30206683,7.909875e-05,0.9999209
252,12.27,621.3222446123456,-0.007775254167155166,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.43852565,0.26656368,0.2947449,0.00016576672,0.99983424
257,12.233,609.4004868064542,-0.004909800484230298,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.41644472,0.25489244,0.32848722,0.00017564111,0.99982435
261,12.203,620.4864747084661,0.004709849173073736,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.43155086,0.25098523,0.3173746,8.9309375e-05,0.9999107
266,12.165,650.996155586018,0.02781491161835518,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.52338123,0.18413188,0.29239646,9.04085e-05,0.9999096
271,12.127,654.8739060545391,0.02714343131002605,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.54691875,0.1499486,0.30300468,0.00012787238,0.99987215
275,12.097,655.5834477775273,0.025282326417020193,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.5425246,0.1345345,0.32280642,0.00013450604,0.9998655
280,12.06,681.0953511278183,0.012002939024701668,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.61686516,0.099055305,0.28395155,0.0001280169,0.99987197
285,12.024,674.8564105130325,0.01059000903403906,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.5761131,0.088332236,0.33541116,0.0001435132,0.9998565
289,11.997,676.3914452279339,0.02307077234768368,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.61156213,0.06465043,0.3236777,0.00010977877,0.9998902
294,11.962,649.4676366693068,0.03456863076335991,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.62228394,0.051844,0.32567406,0.00019802139,0.999802
299,11.928,628.4253556002959,0.02085715208731202,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.5611584,0.04725845,0.39144194,0.00014115137,0.99985886
304,11.893,628.691825859951,0.02804166002620311,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.59164554,0.045430988,0.36259747,0.00032601084,0.99967396
308,11.865,619.8394355757989,0.03147847415676341,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.61569893,0.04163397,0.3421918,0.0004753729,0.99952465
313,11.83,631.5880116945106,0.0077287573007767205,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.5710639,0.05313286,0.37539196,0.00041116297,0.99958885
318,11.795,629.3849026265895,0.006151677708905006,-0.13132665832290363,0.042365456821026284,neutral,Ba,0.61976695,0.04455486,0.3352049,0.0004732313,0.99952674
