pad_max_frac,both_sided,tsc_copies,csd_window_frac,use_4channel,ood_binary_auc,ood_macro_f1
0.5,False,1,0.25,False,0.70559313795642,0.5254644316060646
0.5,False,1,0.25,True,0.6377372429344441,0.4863643734734947
0.5,False,1,0.5,False,0.6302826480185759,0.48401028712843086
0.5,False,1,0.5,True,0.6567124875423689,0.4950471781741924
0.5,False,2,0.25,False,0.6105721936647546,0.43283082581658516
0.5,False,2,0.25,True,0.6671727075702429,0.5011661414150245
0.5,False,2,0.5,False,0.6151565374682999,0.4656155845201305
0.5,False,2,0.5,True,0.7259975452181391,0.5274031881572475
0.5,False,3,0.25,False,0.6239271610525134,0.4602509678898996
0.5,False,3,0.25,True,0.6551292563841733,0.4872871898811759
0.5,False,3,0.5,False,0.6612865171364144,0.4679719125470095
0.5,False,3,0.5,True,0.6440221420292433,0.45213704769031965
0.5,True,1,0.25,False,0.5388281639804597,0.3805017965583553
0.5,True,1,0.25,True,0.5951073257962247,0.43669594632298503
0.5,True,1,0.5,False,0.5339972461060637,0.40400408115651865
0.5,True,1,0.5,True,0.6611804741699963,0.4562905757718636
0.5,True,2,0.25,False,0.5339859649394234,0.35282690923358373
0.5,True,2,0.25,True,0.6651575688892499,0.5086256819995687
0.5,True,2,0.5,False,0.5373941665409623,0.3488687993588514
0.5,True,2,0.5,True,0.6470612883221231,0.5008046989479498
0.5,True,3,0.25,False,0.5605614926723987,0.38300192432531865
0.5,True,3,0.25,True,0.6551360250841576,0.44581267892388077
0.5,True,3,0.5,False,0.5597363559124272,0.3895374745001796
0.5,True,3,0.5,True,0.5900320900843058,0.46475507885440437
0.7,False,1,0.25,False,0.7431545880827045,0.5448378876852568
0.7,False,1,0.25,True,0.7420583810043204,0.5861367628691245
0.7,False,1,0.5,False,0.7517082909483787,0.554347504702952
0.7,False,1,0.5,True,0.7393986042295995,0.5761961526813167
0.7,False,2,0.25,False,0.6775330086935893,0.5059252345577954
0.7,False,2,0.25,True,0.7357460847905377,0.5611379671707282
0.7,False,2,0.5,False,0.7126496688494113,0.5267763890023938
0.7,False,2,0.5,True,0.715816453484849,0.5620517239596072
0.7,False,3,0.25,False,0.6723555978438145,0.5040155045122062
0.7,False,3,0.25,True,0.7114242118332347,0.5569445687446252
0.7,False,3,0.5,False,0.7062264948835074,0.5119983344162141
0.7,False,3,0.5,True,0.7072582381525188,0.5424662825005796
0.7,True,1,0.25,False,0.6154434014200088,0.4666485476034512
0.7,True,1,0.25,True,0.6339648208099491,0.4807252376172819
0.7,True,1,0.5,False,0.5355849897309152,0.4109370124397096
0.7,True,1,0.5,True,0.6469526668033299,0.48821435755209774
0.7,True,2,0.25,False,0.5317423020542037,0.35486593378362163
0.7,True,2,0.25,True,0.7115615197471987,0.5333517782176759
0.7,True,2,0.5,False,0.5546369462719933,0.40940186749688756
0.7,True,2,0.5,True,0.61989043730959,0.4615399523557102
0.7,True,3,0.25,False,0.5635539027034833,0.39564771836227347
0.7,True,3,0.25,True,0.6405936343277521,0.45312107981480987
0.7,True,3,0.5,False,0.5348262506945974,0.3865414312284017
0.7,True,3,0.5,True,0.6018695793994294,0.4581346990259658
0.9,False,1,0.25,False,0.7550645991833724,0.5755853160141873
0.9,False,1,0.25,True,0.7488319157741653,0.5842787648334905
0.9,False,1,0.5,False,0.7566816738414887,0.5730624894102712
0.9,False,1,0.5,True,0.7378401916380124,0.5777846374600345
0.9,False,2,0.25,False,0.7318759999948429,0.5606708297844181
0.9,False,2,0.25,True,0.7564492818086999,0.5932100354503028
0.9,False,2,0.5,False,0.7253058485435692,0.548885724248382
0.9,False,2,0.5,True,0.7554065796920951,0.5868336892385244
0.9,False,3,0.25,False,0.6980573186407418,0.5381797941955182
0.9,False,3,0.25,True,0.7598710208102069,0.5838854571689834
0.9,False,3,0.5,False,0.702189448821537,0.5317973307459245
0.9,False,3,0.5,True,0.7456180725578853,0.5847032833155263
0.9,True,1,0.25,False,0.612546720145843,0.408762064639016
0.9,True,1,0.25,True,0.640991698350629,0.45433840444937695
0.9,True,1,0.5,False,0.5327737230041683,0.3649847127348606
0.9,True,1,0.5,True,0.659733906287671,0.4907149472576845
0.9,True,2,0.25,False,0.5396558792928062,0.35873942839368334
0.9,True,2,0.25,True,0.6725970148099155,0.47328044410978654
0.9,True,2,0.5,False,0.574974311171965,0.4018206581553684
0.9,True,2,0.5,True,0.680468045934332,0.5163729913381951
0.9,True,3,0.25,False,0.5329680813894271,0.2957215720405589
0.9,True,3,0.25,True,0.6020887563512968,0.43908822222274124
0.9,True,3,0.5,False,0.5437583561212899,0.35423000125092347
0.9,True,3,0.5,True,0.6312573408162923,0.4232768748797989
0.8,False,3,0.15,True,0.7461292705662114,0.5750911480897871
0.8,False,3,0.2,True,0.7382405118942172,0.5693855495969085
0.8,False,3,0.25,True,0.748820634607525,0.5814025416151354
0.8,False,4,0.15,True,0.704148181669329,0.5354880951961304
0.8,False,4,0.2,True,0.7344771147030346,0.5623485805114505
0.8,False,4,0.25,True,0.7435984214102361,0.5643224529516822
0.9,False,3,0.15,True,0.7479068601096658,0.5748643402024048
0.9,False,3,0.2,True,0.7589030967124746,0.5940210493652692
0.9,False,3,0.25,True,0.7559719273002944,0.5861248696134658
0.9,False,4,0.15,True,0.7394504975961445,0.5600596066795189
0.9,False,4,0.2,True,0.7313921991055001,0.5609237896867625
0.9,False,4,0.25,True,0.7511342407259142,0.5795347769167245
0.95,False,3,0.15,True,0.7550062594358901,0.5832246262949838
0.95,False,3,0.2,True,0.75625911357105,0.5827427824190725
0.95,False,3,0.25,True,0.7591722331166061,0.582621815740913
0.95,False,4,0.15,True,0.7401086730898406,0.5702873697467791
0.95,False,4,0.2,True,0.7307227424451639,0.5599275027722862
0.95,False,4,0.25,True,0.7491326394448893,0.57436889986453
