epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro
1,1.310945663940318,0.34854,1.2288164105838477,0.3946133333333333,0.35027265206543234
2,1.1986086848666944,0.4405742857142857,0.8569124481376934,0.6667866666666666,0.662686507621802
3,0.8434044389881643,0.6655285714285715,0.7334643744771391,0.7134933333333333,0.713036110080336
4,0.7181467283905315,0.7218714285714286,0.6369025018129739,0.7544933333333333,0.7546210905946678
5,0.5996095378939369,0.7743457142857143,0.4993886723860132,0.81408,0.8127711352425513
6,0.5245033561257165,0.8051885714285715,0.4898742937797572,0.8224533333333334,0.8222299161401949
7,0.4709851213793868,0.8262142857142857,0.4180401991099221,0.8456533333333334,0.8444482146014138
8,0.44429556649498353,0.8361514285714285,0.398955618689288,0.8521466666666667,0.8508521194893823
9,0.42808816139833145,0.8421685714285714,0.3891474503655076,0.85572,0.8545285054236597
10,0.41463477900847656,0.8476657142857142,0.378353687302041,0.8602666666666666,0.8590678947201377
11,0.40620108888070805,0.8510342857142857,0.3722690558728505,0.8617333333333334,0.8604451576170875
12,0.3947185082562009,0.8550857142857143,0.36956503972055155,0.8636266666666667,0.8624493334653749
13,0.3885434586779509,0.8570514285714286,0.36165211998155095,0.8660666666666667,0.8650770534483779
14,0.3792603428337648,0.8609485714285714,0.35711069392364586,0.8683333333333333,0.8672456026790959
15,0.37342528655607476,0.86306,0.35524495729203925,0.8681866666666667,0.8671748924236592
16,0.36788910127753965,0.8652685714285714,0.3531991543674225,0.8697866666666667,0.8689221434241142
17,0.36327746595499505,0.8670285714285715,0.3539485688553328,0.8701066666666667,0.8694184592809957
18,0.3564395101349358,0.8695771428571428,0.3433903933283412,0.8725066666666667,0.871606836570185
19,0.3525841542364692,0.8707,0.34585369947929023,0.8725333333333334,0.8716653917521533
20,0.3498817094010888,0.8715314285714286,0.3461844498742969,0.8725333333333334,0.872027024592532
