epoch,train_loss,train_acc,val_loss,val_acc
1,1.3910738607211348,0.2403142857142857,1.386470300955984,0.25
2,1.3869980499121126,0.19530571428571428,1.3862946834987342,0.25
3,1.3869543454764748,0.13758285714285715,1.3862952581851555,0.25
4,1.3869532784334702,0.10844,1.3862952811726124,0.25
5,1.3869532018082669,0.10609142857142857,1.3862953601029953,0.25
