age_kyr_bp,Al,Ba,Mo,Ti,U,Al_trend,Al_residuals,Ba_trend,Ba_residuals,Mo_trend,Mo_residuals,Ti_trend,Ti_residuals,U_trend,U_residuals
90.375,69460.461,202.933,1.593,6196.456,1.716,66697.46994292515,2762.991057074847,181.2167187116978,21.716281288302184,2.0277533764404754,-0.4347533764404754,5946.5256913354315,249.93030866456866,2.6211987535244017,-0.9051987535244017
90.349,74124.404,162.041,2.838,6623.391,2.684,66790.78540388282,7333.618596117172,181.46625118506256,-19.425251185062564,2.0345212801151042,0.8034787198848958,5956.324313095873,667.066686904127,2.634836386940644,0.04916361305935624
90.322,72197.912,163.248,1.968,6373.206,1.624,66884.74573455556,5313.166265444437,181.7187501299623,-18.470750129962312,2.0415880587362008,-0.07358805873620078,5966.224488463911,406.9815115360889,2.6490462188300397,-1.0250462188300395
90.296,73310.054,234.115,2.087,6339.241,2.333,66972.28297619938,6337.771023800626,181.9553715874306,52.15962841256942,2.0484276771231062,0.03857232287689394,5975.482675814554,363.7583241854463,2.662772926979023,-0.3297729269790226
90.269,74339.694,190.85,1.873,6510.6,1.594,67060.02145728726,7279.6725427127385,182.1941881520225,8.655811847977503,2.055563682467512,-0.1825636824675121,5984.800739345786,525.7992606542148,2.67706937387301,-1.0830693738730097
90.243,74475.915,193.015,2.416,6501.32,1.288,67141.3624062209,7334.552593779095,182.41740488694967,10.597595113050318,2.062465166005289,0.35353483399471086,5993.4790795183,507.84092048169987,2.690873524659707,-1.402873524659707
90.217,73467.941,181.372,2.01,6587.853,2.232,67219.52154241281,6248.419457587195,182.6339090706357,-1.2619090706356815,2.069393737125667,-0.0593937371256672,6001.859613185403,585.9933868145972,2.7047110464451642,-0.47271104644516404
90.19,69251.13,199.37,2.269,6108.734,3.28,67297.22547719059,1953.9045228094183,182.85156433359475,16.518435666405253,2.076615386206677,0.19238461379332294,6010.2384978066,98.49550219340017,2.7191126306257147,0.5608873693742851
90.164,71995.21,212.121,1.469,6222.676,3.538,67368.63338665431,4626.576613345693,183.0541976675616,29.066802332438414,2.0835933590417364,-0.6145933590417363,6017.98712928924,204.68887071076006,2.733007998493184,0.8049920015068159
90.137,69440.85,219.858,1.303,6264.637,1.68,67439.15455999965,2001.6954400003597,183.25736258677892,36.60063741322108,2.090862722125761,-0.787862722125761,6025.693753089633,238.94324691036672,2.7474621879396564,-1.0674621879396564
