age_kyr_bp,Al,Ba,Mo,Ti,U,Al_trend,Al_residuals,Ba_trend,Ba_residuals,Mo_trend,Mo_residuals,Ti_trend,Ti_residuals,U_trend,U_residuals
62.0,55056.885,144.824,1.329,4756.391,1.989,55780.18236044507,-723.2973604450672,152.53478922699668,-7.710789226996667,1.675711843708174,-0.346711843708174,4707.404366055026,48.98663394497362,1.6880784540005815,0.30092154599941856
61.96,53267.806,147.504,1.464,4680.107,1.119,56051.33968727159,-2783.5336872715925,153.35486192904136,-5.850861929041372,1.6794311125297336,-0.21543111252973368,4730.756775317833,-50.64977531783279,1.6981176904903754,-0.5791176904903754
61.921,52961.961,188.089,1.972,4521.262,1.06,56328.951117087316,-3366.9901170873127,154.21095401502583,33.878045984974165,1.6840541251516257,0.2879458748483743,4754.562826194905,-233.3008261949053,1.7080720109563308,-0.6480720109563307
61.881,53346.702,142.264,2.098,4592.582,2.21,56625.29158815789,-3278.589588157891,155.14090601858,-12.876906018580002,1.6898518164737872,0.4081481835262126,4779.877337101223,-187.29533710122269,1.7183615964669514,0.49163840353304855
61.841,54086.413,145.09,1.608,4542.406,1.139,56931.319087480806,-2844.9060874808056,156.117244380763,-11.027244380762994,1.6967653941889105,-0.08876539418891038,4805.932059277973,-263.5260592779732,1.7286584442513218,-0.5896584442513217
61.801,57809.781,167.266,1.692,4867.828,2.168,57244.89414646553,564.8868535344736,157.13385449477775,10.13214550522224,1.704850731070882,-0.012850731070882082,4832.558066568603,35.269933431397476,1.7389058863086253,0.42909411369137485
61.761,57588.749,182.81,1.145,4769.328,2.597,57563.86040380219,24.888596197815787,158.1848729441132,24.625127055886793,1.714168755732854,-0.569168755732854,4859.590847564763,-90.26284756476252,1.7490646210847944,0.8479353789152055
61.721,59708.673,142.959,2.041,5109.304,1.937,57886.079053412715,1822.593946587287,159.2647946123401,-16.305794612340094,1.7247806435712452,0.31621935642875476,4886.872826907543,222.43117309245736,1.7591119607125263,0.17788803928747376
61.682,58438.044,137.926,1.139,5105.028,1.01,58201.379031190954,236.66496880904742,160.34070724867888,-22.414707248678894,1.7364267868896328,-0.5974267868896328,4913.5709525315815,191.45704746841875,1.7687940935501567,-0.7587940935501567
61.642,59668.808,161.293,1.659,5032.21,1.086,58523.961015892244,1144.846984107753,161.46330740656288,-0.1703074065628698,1.749749979441772,-0.09074997944177188,4940.919812675957,91.29018732404347,1.7786148897280785,-0.6926148897280784
