age_kyr_bp,Al,Ba,Mo,Ti,U,Al_trend,Al_residuals,Ba_trend,Ba_residuals,Mo_trend,Mo_residuals,Ti_trend,Ti_residuals,U_trend,U_residuals
112.58,60064.317,112.626,1.62,5262.659,2.241,63677.382225659254,-3613.065225659251,164.65438017075462,-52.028380170754616,1.8647967468121927,-0.24479674681219254,5629.928502180011,-367.26950218001093,2.565116504942961,-0.32411650494296085
112.557,59759.442,210.911,1.766,5131.166,2.446,63775.58806796421,-4016.146067964204,164.87335358831734,46.03764641168266,1.8676769959735355,-0.10167699597353552,5637.815061927312,-506.6490619273118,2.5703528987973767,-0.12435289879737654
112.534,60152.25,156.253,1.27,5359.519,1.816,63874.86763031392,-3722.617630313922,165.1002859177052,-8.847285917705221,1.870516275044539,-0.600516275044539,5645.825363635381,-286.3063636353809,2.575615221364185,-0.7596152213641851
112.512,62231.873,133.411,2.078,5603.019,2.276,63970.768716640385,-1738.8957166403852,165.3247381962363,-31.913738196236295,1.8731936421676396,0.20480635783236023,5653.595930191459,-50.576930191458814,2.580673908296453,-0.30467390829645336
112.489,63698.675,153.972,2.061,5678.992,3.663,64071.93876005978,-373.26376005977363,165.56705293305868,-11.595052933058668,1.8759525009925226,0.1850474990074773,5661.825458975551,17.166541024449543,2.585989835050644,1.077010164949356
112.466,64243.047,166.635,1.991,5593.353,3.465,64173.965346228615,69.08165377138357,165.81713635438518,0.817863645614807,1.8786704138885257,0.11232958611147437,5670.155072755827,-76.80207275582688,2.591334744807037,0.8736652551929627
112.443,63563.386,122.052,2.315,5614.087,2.232,64276.77290659241,-713.3869065924082,166.0749286360686,-44.022928636068585,1.8813476909125157,0.4336523090874842,5678.576512533878,-64.48951253387713,2.596709794611823,-0.36470979461182296
112.42,64170.582,148.328,1.363,5605.907,1.499,64380.284958466735,-209.70295846673253,166.34037336841783,-18.012373368417826,1.8839848007761404,-0.5209848007761404,5687.081408032753,-81.17440803275258,2.602116210247212,-1.103116210247212
112.397,65068.232,195.423,2.393,5575.265,3.448,64484.42419900338,583.8078009966266,166.61341824598878,28.80958175401122,1.8865823742286394,0.5064176257713604,5695.661289238702,-120.39628923870168,2.6075552899475802,0.8404447100524197
112.374,66453.913,165.622,1.61,5760.862,2.263,64589.11259981678,1864.8004001832232,166.89401575777518,-1.272015757775165,1.8891412072440241,-0.279141207244024,5704.307598018459,56.55440198154065,2.613028408131501,-0.35002840813150105
112.351,65887.675,165.262,2.698,5624.634,4.051,64694.27150215993,1193.4034978400741,167.18212387543872,-1.920123875438719,1.8916622640083607,0.8063377359916393,5713.011699795268,-88.3776997952682,2.618537019138097,1.432462980861903
112.329,64437.708,146.028,1.607,5801.532,2.555,64795.22551468554,-357.51751468553994,167.46470029807048,-21.43670029807049,1.894039406413082,-0.2870394064130821,5721.3834192284685,80.14858077153167,2.6238407543517335,-0.06884075435173331
112.306,65703.168,183.613,2.831,5736.171,1.054,64901.07551057257,802.0924894274358,167.7674056622289,15.845594337771104,1.8964899963883686,0.9345100036116314,5730.175384734082,5.995615265917877,2.6294233366006896,-1.5754233366006896
112.283,64936.18,148.02,1.931,5814.521,1.563,65007.160690350036,-70.98069035003573,168.07753601495034,-20.05753601495033,1.8989066705016158,0.03209332949838428,5738.9992811692355,75.52171883076426,2.6350462148025184,-1.0720462148025185
112.26,65218.228,153.583,1.395,5810.45,1.896,65113.400841603885,104.82715839611774,168.3950776473572,-14.8120776473572,1.9012910837555608,-0.5062910837555608,5747.846286588728,62.60371341127211,2.6407111957749385,-0.7447111957749386
