age_kyr_bp,Al,Ba,Mo,Ti,U,Al_trend,Al_residuals,Ba_trend,Ba_residuals,Mo_trend,Mo_residuals,Ti_trend,Ti_residuals,U_trend,U_residuals
14.997,58244.242,142.619,2.363,5140.744,1.324,58740.09528772094,-495.8532877209436,185.99372125955455,-43.37472125955455,2.259632486483957,0.10336751351604301,5032.027367444577,108.71663255542262,2.0037441630176023,-0.6797441630176022
14.973,58021.321,196.051,1.712,4899.622,1.684,58760.33188118285,-739.0108811828468,186.31100265320498,9.739997346795008,2.2599100680173545,-0.5479100680173545,5033.335734759197,-133.713734759197,2.0097786332310674,-0.3257786332310675
14.949,58598.643,208.279,1.496,4913.98,1.189,58781.97087064778,-183.32787064778677,186.66078788257153,21.61821211742847,2.2614362007735727,-0.7654362007735727,5034.841400058543,-120.86140005854304,2.0164042867820577,-0.8274042867820577
14.925,58687.252,185.323,1.77,5038.324,1.459,58804.98300436666,-117.73100436665845,187.04168336760992,-1.7186833676099127,2.2642137802884363,-0.4942137802884363,5036.547484068888,1.7765159311120442,2.023597895300078,-0.5645978953000781
14.901,59478.665,181.633,2.531,5202.662,2.086,58829.33796610373,649.3270338962684,187.45211523004122,-5.819115230041206,2.2682338044846033,0.2627661955153968,5038.455872838049,164.20612716195137,2.031332560309168,0.05466743969083199
14.877,59817.53,193.795,1.715,5171.54,2.452,58855.00492847159,962.5250715284055,187.8903498822246,5.90465011777539,2.2734754277425306,-0.5584754277425306,5040.567178183006,130.97282181699393,2.0395779908760443,0.41242200912395566
14.853,60049.147,163.546,1.932,5052.319,2.942,58881.953002820126,1167.193997179871,188.3545146131563,-24.80851461315632,2.279906124572528,-0.3479061245725279,5042.880703476731,9.438296523269855,2.0483007747318034,0.8936992252681968
14.829,58254.373,172.39,1.774,4899.883,0.948,58910.15157721099,-655.7785772109928,188.84261787837374,-16.452617878373758,2.287481961331368,-0.5134819613313679,5045.394415758265,-145.51141575826477,2.0574646393841896,-1.1094646393841896
14.805,59104.196,215.471,2.151,4887.69,2.736,58939.57053654727,164.62546345273586,189.35256904538014,26.118430954619868,2.2961479738198496,-0.14514797381984978,5048.104925208395,-160.4149252083953,2.0670307012786715,0.6689692987213287
14.781,58306.726,240.724,2.672,4980.156,1.587,58970.18036148937,-663.4543614893701,189.88219739056308,50.84180260943691,2.305838647983505,0.366161352016495,5051.007473040212,-70.85147304021211,2.076957702607147,-0.4899577026071469
