age_kyr_bp,Al,Ba,Mo,Ti,U,Al_trend,Al_residuals,Ba_trend,Ba_residuals,Mo_trend,Mo_residuals,Ti_trend,Ti_residuals,U_trend,U_residuals
90.482,59335.241,160.323,2.58,5266.016,2.431,59975.96392959858,-640.7229295985817,174.9114426265918,-14.588442626591785,2.5476575471233254,0.0323424528766747,5168.4540253494715,97.5619746505281,2.8794071732843967,-0.4484071732843966
90.448,60293.455,139.083,1.947,5426.142,2.091,60071.710861247964,221.74413875203754,175.25071449722412,-36.167714497224125,2.5554011567359405,-0.6084011567359404,5178.241424017746,247.90057598225394,2.8899564810256892,-0.7989564810256891
90.415,61476.822,185.955,2.308,5160.969,1.739,60164.4209574433,1312.401042556703,175.5718615448031,10.3831384551969,2.5631194927668286,-0.25511949276682877,5187.652800757419,-26.683800757418794,2.8998351364607426,-1.1608351364607425
90.381,61220.558,206.039,2.339,5143.06,6.321,60259.72059427933,960.8374057206674,175.89448682195024,30.14451317804975,2.5712928997569358,-0.2322928997569358,5197.257489947739,-54.19748994773818,2.9096435791667288,3.411356420833271
90.347,60108.666,175.334,2.354,5126.901,3.67,60354.79938206674,-246.13338206674234,176.20890915161328,-0.8749091516132808,2.5797041862083594,-0.2257041862083593,5206.767473063583,-79.86647306358282,2.9190800865961943,0.7509199134038056
90.314,58894.727,183.814,2.918,5186.141,1.868,60446.867721065275,-1552.140721065276,176.5064357722377,7.307564227762299,2.5881090078230216,0.3298909921769786,5215.905430092808,-29.764430092808652,2.9278877031504456,-1.0598877031504454
90.28,60179.269,208.496,3.479,5094.788,3.312,60541.49758808514,-362.2285880851414,176.80533274246685,31.690667257533164,2.5970312621588443,0.8819687378411558,5225.2230038195885,-130.43500381958893,2.9366060871437303,0.37539391285626955
90.246,59696.807,155.332,1.969,5201.613,2.612,60635.88268377667,-939.0756837766676,177.09673956711646,-21.764739567116465,2.6062356067746446,-0.6372356067746445,5234.439265426554,-32.82626542655362,2.9449703911402008,-0.33297039114020066
90.213,61209.317,179.888,2.607,5286.739,4.237,60727.24085861006,482.0761413899454,177.37270061443454,2.51529938556547,2.6154544333670993,-0.008454433367099057,5243.284783366955,43.45421663304478,2.952758456742932,1.284241543257068
90.179,61061.047,223.076,3.159,5239.342,2.477,60821.087299222636,239.95970077736274,177.6502685207349,45.425731479265096,2.6252630760451736,0.5337369239548262,5252.2924408878725,-12.950440887872901,2.9604523034841534,-0.4834523034841536
90.145,59362.531,159.598,2.286,5091.954,3.096,60914.623262304995,-1552.092262304992,177.92134380562752,-18.323343805627502,2.63540442063543,-0.34940442063542987,5261.1890322470135,-169.2350322470138,2.967822547443493,0.12817745255650692
90.112,59124.339,194.114,2.903,5304.827,3.969,61005.082624541785,-1880.7436245417848,178.17861444153795,15.935385558462059,2.6455832205883016,0.2574167794116984,5269.7140330718485,35.112966928151764,2.974678883668646,0.9943211163313537
90.078,61302.56,192.401,1.588,5243.869,3.201,61097.91481918958,204.64518081041751,178.43809104011603,13.962908959883976,2.656435229698556,-1.0684352296985558,5278.3800050265,-34.51100502650024,2.981450857148993,0.21954914285100724
90.044,59926.822,181.537,1.34,5219.49,3.358,61190.336550722845,-1263.5145507228444,178.69234856067348,2.844651439326526,2.6676773685078645,-1.3276773685078644,5286.922433568104,-67.43243356810399,2.9879418443684123,0.37005815563158784
