age_kyr_bp,Al,Ba,Mo,Ti,U,Al_trend,Al_residuals,Ba_trend,Ba_residuals,Mo_trend,Mo_residuals,Ti_trend,Ti_residuals,U_trend,U_residuals
14.699,79309.843,222.959,1.576,7151.257,1.646,74643.80988098957,4666.033119010419,217.43354269535126,5.525457304648739,1.7356855252048133,-0.15968552520481327,6850.1252600409425,301.1317399590571,2.2663894910900515,-0.6203894910900516
14.682,79263.703,221.136,1.518,7311.093,2.005,74741.96116076528,4521.741839234717,217.4637251872103,3.672274812789709,1.735337525180699,-0.21733752518069904,6856.9593571272235,454.13364287277636,2.2684589265890454,-0.26345892658904546
14.665,80244.404,258.021,2.213,7627.461,2.74,74838.1955713652,5406.208428634796,217.49234088514348,40.52865911485654,1.7350247255598066,0.4779752744401935,6863.574450680537,763.8865493194635,2.270521708363742,0.4694782916362583
14.647,82126.345,234.679,3.089,8001.376,2.375,74937.98972049708,7188.3552795029245,217.5209081227327,17.15809187726731,1.734733528363301,1.354266471636699,6870.339450932092,1131.0365490679078,2.2726979437274593,0.10230205627254074
14.63,80550.098,265.166,1.591,7537.598,3.31,75030.24683402767,5519.85116597233,217.54623512810858,47.61976487189142,1.7344977840945441,-0.14349778409454417,6876.502511513008,661.0954884869916,2.274745240953673,1.0352547590463272
14.613,80075.048,212.346,2.752,8022.329,2.139,75120.56216790466,4954.485832095335,217.56994389643,-5.223943896430001,1.7343015953158865,1.0176984046841133,6882.446041327161,1139.8829586728389,2.2767841727852036,-0.13778417278520383
14.595,79220.282,204.222,1.839,7727.158,1.753,75214.07007472464,4006.211925275362,217.5932753237167,-13.371275323716702,1.7341384504123143,0.10486154958768568,6888.500351180824,838.6576488191768,2.278933329630445,-0.5259333296304451
14.578,79175.447,219.652,1.461,7086.664,1.476,75300.37983785373,3875.067162146268,217.6136341487682,2.038365851231788,1.73402780858162,-0.27302780858162,6893.993445958815,192.67055404118491,2.280953370388843,-0.804953370388843
14.561,79558.717,228.247,2.474,7294.678,1.321,75384.7450049825,4173.971995017506,217.63236625375123,10.614633746248785,1.7339606018416374,0.7400393981583628,6899.269061902876,395.4089380971236,2.2829634561253247,-0.9619634561253247
14.544,79776.155,190.544,1.81,7538.743,2.5,75467.16922814342,4308.985771856576,217.6494778041445,-27.1054778041445,1.733937985063164,0.07606201493683606,6904.328405451563,634.414594548437,2.284963099513817,0.21503690048618296
14.527,79324.28,190.71,1.332,7409.475,2.025,75547.6583216591,3776.6216783409036,217.6649791995995,-26.954979199599478,1.7339610540077994,-0.40196105400779936,6909.172936712,500.3020632880007,2.2869518311376558,-0.26195183113765586
14.509,79439.845,197.088,1.177,7368.327,2.77,75630.78167525954,3809.063324740462,217.67965362785532,-20.591653627855322,1.734036424981584,-0.557036424981584,6914.070203309781,454.25679669021883,2.2890451533118563,0.4809548466881437
14.492,78615.374,219.191,1.637,7298.137,1.844,75707.31387228867,2908.060127711331,217.69189014374308,1.499109856256922,1.7341567423253865,-0.09715674232538651,6918.478114564072,379.6588854359279,2.291010023680298,-0.4470100236802981
14.475,77399.804,201.116,1.689,7350.606,1.942,75781.94150346673,1617.862496533271,217.7025733280122,-16.58657332801218,1.7343257132847536,-0.045325713284753544,6922.677179738535,427.92882026146435,2.292962669004435,-0.3509626690044352
14.458,79305.815,206.746,1.583,7361.201,2.081,75854.67851058714,3451.1364894128637,217.71172947167878,-10.96572947167877,1.7345441778944624,-0.1515441778944624,6926.669812832323,434.53118716767676,2.2949027035230967,-0.2139027035230967
14.441,78845.923,254.161,2.051,7594.808,2.47,75925.54066164442,2920.382338355572,217.7193884174474,36.44161158255261,1.734812910080631,0.31618708991936906,6930.45864188023,664.3493581197699,2.2968297645536504,0.1731702354463498
14.423,80278.549,228.483,1.582,7541.33,2.258,75998.54714328842,4280.001856711577,217.72590298415741,10.75709701584259,1.735153024485028,-0.15315302448502788,6934.251355460369,607.0786445396307,2.2988556654185683,-0.04085566541856833
14.407,78854.76,214.854,1.934,7387.914,3.275,76061.71214442633,2793.0478555736627,217.7303508819852,-2.8763508819851893,1.7355039371409968,0.19849606285900312,6937.4364151152795,450.4775848847203,2.300643635985153,0.9743563640148469
14.391,80491.273,218.407,2.148,7638.032,2.094,76123.26729205175,4368.00570794825,217.73356925991567,0.673430740084342,1.7359010761846383,0.41209892381536184,6940.448980135794,697.5830198642061,2.302419280562938,-0.20841928056293835
14.374,79426.678,241.771,2.434,7475.804,1.741,76186.92648867285,3239.751511327151,217.73568109407427,24.03531890592572,1.736374156129508,0.6976258438704921,6943.463986285033,532.3400137149674,2.304292152391267,-0.5632921523912668
14.358,79281.113,290.644,1.722,7484.459,2.055,76245.22117014954,3035.8918298504577,217.7364773734402,72.9075226265598,1.7368679044542468,-0.014867904454246794,6946.1298388525565,538.3291611474433,2.306041705604487,-0.2510417056044867
14.342,77690.955,228.869,1.682,7575.538,1.64,76301.96630547132,1388.9886945286853,217.73615872385452,11.132841276145484,1.7374089960656287,-0.05540899606562877,6948.632241418047,626.9057585819528,2.3077783281661546,-0.6677783281661547
14.327,76834.491,160.879,0.92,7571.157,1.185,76353.77694312634,480.7140568736504,217.73488415250844,-56.85588415250845,1.737959494305702,-0.8179594943057019,6950.832638626341,620.3243613736595,2.3093945312609314,-1.1243945312609314
14.312,78462.21,192.746,0.628,7327.998,0.977,76404.26354078896,2057.9464592110453,217.73270141486705,-24.986701414867042,1.7385519947117003,-1.1105519947117002,6952.894904830033,375.10309516996676,2.310999125457091,-1.3339991254570913
