core,element,auc_cnn_lstm,auc_variance,auc_lag1_ac,N,auc_lstm,auc_cnn
MS21,Mo,0.996,0.008,0.0,336,0.99,0.601
MS66,Mo,0.629,0.747,0.662,672,0.35,0.53
64PE406E1,Mo,0.403,0.583,0.759,1344,0.612,0.474
