model,dataset,core,sapropel,element,p_fold,p_hopf,p_transcritical,p_null,argmax_class
arsenal,ts_1500,64PE406E1,S3,Mo,0.1198,0.8452,0.0,0.035,hopf
arsenal,ts_1500,64PE406E1,S3,U,0.0999,0.7102,0.1499,0.04,hopf
arsenal,ts_1500,64PE406E1,S4,Mo,0.1948,0.8002,0.005,0.0,hopf
arsenal,ts_1500,64PE406E1,S4,U,0.04,0.8901,0.03,0.04,hopf
arsenal,ts_1500,64PE406E1,S5,Mo,0.3698,0.5853,0.04,0.005,hopf
arsenal,ts_1500,64PE406E1,S5,U,0.4999,0.3752,0.08,0.0449,fold
arsenal,ts_1500,64PE406E1,S6,Mo,0.155,0.5802,0.1049,0.1599,hopf
arsenal,ts_1500,64PE406E1,S6,U,0.1099,0.7453,0.0649,0.0799,hopf
arsenal,ts_500,64PE406E1,S3,Mo,0.035,0.965,0.0,0.0,hopf
arsenal,ts_500,64PE406E1,S3,U,0.1651,0.7649,0.07,0.0,hopf
arsenal,ts_500,64PE406E1,S4,Mo,0.015,0.985,0.0,0.0,hopf
arsenal,ts_500,64PE406E1,S4,U,0.1702,0.8298,0.0,0.0,hopf
arsenal,ts_500,64PE406E1,S5,Mo,0.0701,0.9199,0.01,0.0,hopf
arsenal,ts_500,64PE406E1,S5,U,0.2451,0.7549,0.0,0.0,hopf
arsenal,ts_500,64PE406E1,S6,Mo,0.0,0.7249,0.2751,0.0,hopf
arsenal,ts_500,64PE406E1,S6,U,0.0,0.995,0.0,0.005,hopf
arsenal,ts_500,MS21,S1,Mo,0.8,0.19,0.01,0.0,fold
arsenal,ts_500,MS21,S1,U,0.915,0.0599,0.025,0.0,fold
arsenal,ts_500,MS66,S1,Mo,0.0,0.5348,0.4652,0.0,hopf
arsenal,ts_500,MS66,S1,U,0.125,0.84,0.035,0.0,hopf
arsenal,ts_500,MS66,S3,Mo,0.02,0.98,0.0,0.0,hopf
arsenal,ts_500,MS66,S3,U,0.1052,0.8948,0.0,0.0,hopf
bop,ts_1500,64PE406E1,S3,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S3,U,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S4,Mo,0.875,0.125,0.0,0.0,fold
bop,ts_1500,64PE406E1,S4,U,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S5,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S5,U,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S6,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_1500,64PE406E1,S6,U,1.0,0.0,0.0,0.0,fold
bop,ts_1500,MS21,S1,Mo,0.125,0.0,0.125,0.75,null
bop,ts_1500,MS21,S1,U,0.0,0.0,0.0,1.0,null
bop,ts_1500,MS66,S1,Mo,0.125,0.375,0.0,0.5,null
bop,ts_1500,MS66,S1,U,0.875,0.0,0.0,0.125,fold
bop,ts_1500,MS66,S3,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_1500,MS66,S3,U,0.875,0.0,0.0,0.125,fold
bop,ts_500,64PE406E1,S3,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_500,64PE406E1,S3,U,0.5,0.25,0.0,0.25,fold
bop,ts_500,64PE406E1,S4,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_500,64PE406E1,S4,U,0.25,0.125,0.0,0.625,null
bop,ts_500,64PE406E1,S5,Mo,0.75,0.0,0.0,0.25,fold
bop,ts_500,64PE406E1,S5,U,0.375,0.5,0.0,0.125,hopf
bop,ts_500,64PE406E1,S6,Mo,1.0,0.0,0.0,0.0,fold
bop,ts_500,64PE406E1,S6,U,0.5,0.5,0.0,0.0,fold
bop,ts_500,MS21,S1,Mo,0.25,0.0,0.0,0.75,null
bop,ts_500,MS21,S1,U,0.125,0.0,0.0,0.875,null
bop,ts_500,MS66,S1,Mo,0.0,0.5,0.0,0.5,hopf
bop,ts_500,MS66,S1,U,0.0,0.0,0.5,0.5,transcritical
bop,ts_500,MS66,S3,Mo,0.75,0.0,0.0,0.25,fold
bop,ts_500,MS66,S3,U,1.0,0.0,0.0,0.0,fold
boss,ts_1500,64PE406E1,S3,Mo,0.2339,0.2577,0.2546,0.2537,hopf
boss,ts_1500,64PE406E1,S3,U,0.3949,0.1646,0.2606,0.1798,fold
boss,ts_1500,64PE406E1,S4,Mo,0.2391,0.3978,0.2378,0.1253,hopf
boss,ts_1500,64PE406E1,S4,U,0.1895,0.3259,0.21,0.2747,hopf
boss,ts_1500,64PE406E1,S5,Mo,0.2594,0.3729,0.275,0.0928,hopf
boss,ts_1500,64PE406E1,S5,U,0.2117,0.3881,0.2355,0.1647,hopf
boss,ts_1500,64PE406E1,S6,Mo,0.1375,0.3791,0.2954,0.188,hopf
boss,ts_1500,64PE406E1,S6,U,0.1871,0.3216,0.3482,0.1431,transcritical
boss,ts_1500,MS21,S1,Mo,0.4522,0.277,0.1527,0.1181,fold
boss,ts_1500,MS21,S1,U,0.2536,0.3064,0.2593,0.1806,hopf
boss,ts_1500,MS66,S1,Mo,0.447,0.1387,0.2589,0.1554,fold
boss,ts_1500,MS66,S1,U,0.0956,0.1978,0.5299,0.1766,transcritical
boss,ts_1500,MS66,S3,Mo,0.3083,0.2343,0.3403,0.1171,transcritical
boss,ts_1500,MS66,S3,U,0.3088,0.2434,0.2274,0.2203,fold
boss,ts_500,64PE406E1,S3,Mo,0.3033,0.3649,0.2234,0.1084,hopf
boss,ts_500,64PE406E1,S4,Mo,0.2251,0.427,0.2726,0.0754,hopf
boss,ts_500,64PE406E1,S4,U,0.2073,0.3775,0.3078,0.1074,hopf
boss,ts_500,64PE406E1,S5,Mo,0.2687,0.3405,0.259,0.1317,hopf
boss,ts_500,64PE406E1,S5,U,0.3068,0.2962,0.2603,0.1368,fold
boss,ts_500,64PE406E1,S6,Mo,0.2429,0.3129,0.295,0.1491,hopf
boss,ts_500,64PE406E1,S6,U,0.2217,0.326,0.2924,0.1598,hopf
catch22,ts_1500,64PE406E1,S3,Mo,0.255,0.3431,0.19,0.2119,hopf
catch22,ts_1500,64PE406E1,S3,U,0.305,0.185,0.2106,0.2994,fold
catch22,ts_1500,64PE406E1,S4,Mo,0.2869,0.2712,0.2412,0.2006,fold
catch22,ts_1500,64PE406E1,S4,U,0.2006,0.2869,0.1619,0.3506,null
catch22,ts_1500,64PE406E1,S5,Mo,0.2988,0.1675,0.3806,0.1531,transcritical
catch22,ts_1500,64PE406E1,S5,U,0.3494,0.1644,0.375,0.1113,transcritical
catch22,ts_1500,64PE406E1,S6,Mo,0.3025,0.2487,0.2756,0.1731,fold
catch22,ts_1500,64PE406E1,S6,U,0.2625,0.2863,0.1975,0.2538,hopf
catch22,ts_1500,MS21,S1,Mo,0.3706,0.1856,0.2981,0.1456,fold
catch22,ts_1500,MS21,S1,U,0.2969,0.3069,0.2319,0.1644,hopf
catch22,ts_1500,MS66,S1,Mo,0.3006,0.2037,0.3256,0.17,transcritical
catch22,ts_1500,MS66,S1,U,0.3087,0.1444,0.275,0.2719,fold
catch22,ts_1500,MS66,S3,Mo,0.2075,0.2781,0.16,0.3544,null
catch22,ts_1500,MS66,S3,U,0.3731,0.1925,0.27,0.1644,fold
catch22,ts_500,64PE406E1,S3,Mo,0.2706,0.2975,0.2431,0.1888,hopf
catch22,ts_500,64PE406E1,S3,U,0.3431,0.2169,0.2331,0.2069,fold
catch22,ts_500,64PE406E1,S4,Mo,0.2919,0.2681,0.2963,0.1437,transcritical
catch22,ts_500,64PE406E1,S4,U,0.3144,0.3294,0.1725,0.1837,hopf
catch22,ts_500,64PE406E1,S5,Mo,0.2881,0.235,0.3819,0.095,transcritical
catch22,ts_500,64PE406E1,S5,U,0.285,0.2694,0.2381,0.2075,fold
catch22,ts_500,64PE406E1,S6,Mo,0.3069,0.2306,0.2969,0.1656,fold
catch22,ts_500,64PE406E1,S6,U,0.2906,0.2681,0.175,0.2662,fold
catch22,ts_500,MS21,S1,Mo,0.2769,0.2588,0.3219,0.1425,transcritical
catch22,ts_500,MS21,S1,U,0.345,0.21,0.2381,0.2069,fold
catch22,ts_500,MS66,S1,Mo,0.235,0.1819,0.4344,0.1487,transcritical
catch22,ts_500,MS66,S1,U,0.2094,0.2938,0.2031,0.2938,hopf
catch22,ts_500,MS66,S3,Mo,0.3269,0.2213,0.2056,0.2462,fold
catch22,ts_500,MS66,S3,U,0.2456,0.2619,0.3219,0.1706,transcritical
cif,ts_500,64PE406E1,S5,Mo,0.3125,0.395,0.2687,0.0238,hopf
cif,ts_500,64PE406E1,S5,U,0.3812,0.33,0.2525,0.0363,fold
cif,ts_500,64PE406E1,S6,Mo,0.215,0.385,0.25,0.15,hopf
cif,ts_500,64PE406E1,S6,U,0.2375,0.4612,0.1812,0.12,hopf
cnn_lstm,ts_1500,64PE406E1,S3,Mo,0.597,0.1945,0.2084,0.0,fold
cnn_lstm,ts_1500,64PE406E1,S3,U,0.2841,0.6561,0.0597,0.0,hopf
cnn_lstm,ts_1500,64PE406E1,S4,Mo,0.0894,0.823,0.0876,0.0,hopf
cnn_lstm,ts_1500,64PE406E1,S4,U,0.3488,0.234,0.4169,0.0003,transcritical
cnn_lstm,ts_1500,64PE406E1,S5,Mo,0.6225,0.2513,0.1261,0.0001,fold
cnn_lstm,ts_1500,64PE406E1,S5,U,0.0776,0.6331,0.2892,0.0001,hopf
cnn_lstm,ts_1500,64PE406E1,S6,Mo,0.1045,0.5146,0.3477,0.0333,hopf
cnn_lstm,ts_1500,64PE406E1,S6,U,0.0249,0.883,0.0912,0.0009,hopf
cnn_lstm,ts_1500,MS21,S1,Mo,0.1352,0.7136,0.1511,0.0002,hopf
cnn_lstm,ts_1500,MS21,S1,U,0.1025,0.783,0.114,0.0004,hopf
cnn_lstm,ts_1500,MS66,S1,Mo,0.0875,0.529,0.3832,0.0003,hopf
cnn_lstm,ts_1500,MS66,S1,U,0.0599,0.9216,0.0185,0.0,hopf
cnn_lstm,ts_1500,MS66,S3,Mo,0.4105,0.5072,0.0823,0.0,hopf
cnn_lstm,ts_1500,MS66,S3,U,0.297,0.6316,0.0713,0.0,hopf
cnn_lstm,ts_500,64PE406E1,S3,Mo,0.1262,0.5776,0.2952,0.001,hopf
cnn_lstm,ts_500,64PE406E1,S3,U,0.1212,0.6926,0.1851,0.0011,hopf
cnn_lstm,ts_500,64PE406E1,S4,Mo,0.0895,0.6234,0.2868,0.0003,hopf
cnn_lstm,ts_500,64PE406E1,S4,U,0.1346,0.6825,0.1813,0.0016,hopf
cnn_lstm,ts_500,64PE406E1,S5,Mo,0.1421,0.6511,0.1891,0.0176,hopf
cnn_lstm,ts_500,64PE406E1,S5,U,0.1139,0.5735,0.3124,0.0002,hopf
cnn_lstm,ts_500,64PE406E1,S6,Mo,0.06,0.5358,0.4033,0.0009,hopf
cnn_lstm,ts_500,64PE406E1,S6,U,0.067,0.6615,0.2694,0.0022,hopf
cnn_lstm,ts_500,MS21,S1,Mo,0.021,0.9434,0.0332,0.0023,hopf
cnn_lstm,ts_500,MS21,S1,U,0.0329,0.8684,0.0962,0.0024,hopf
cnn_lstm,ts_500,MS66,S1,Mo,0.077,0.7369,0.1859,0.0002,hopf
cnn_lstm,ts_500,MS66,S1,U,0.0235,0.925,0.0515,0.0,hopf
cnn_lstm,ts_500,MS66,S3,Mo,0.1471,0.7481,0.1009,0.0039,hopf
cnn_lstm,ts_500,MS66,S3,U,0.1785,0.6142,0.207,0.0003,hopf
drcif,ts_1500,64PE406E1,S6,Mo,0.285,0.265,0.15,0.3,null
drcif,ts_500,64PE406E1,S3,Mo,0.3775,0.305,0.2375,0.08,fold
drcif,ts_500,64PE406E1,S3,U,0.315,0.21,0.36,0.115,transcritical
drcif,ts_500,64PE406E1,S4,Mo,0.3075,0.4025,0.2725,0.0175,hopf
drcif,ts_500,64PE406E1,S4,U,0.2325,0.38,0.165,0.2225,hopf
drcif,ts_500,64PE406E1,S5,Mo,0.4,0.25,0.255,0.095,fold
drcif,ts_500,64PE406E1,S5,U,0.3975,0.2975,0.2675,0.0375,fold
drcif,ts_500,64PE406E1,S6,Mo,0.29,0.285,0.18,0.245,fold
drcif,ts_500,64PE406E1,S6,U,0.2625,0.36,0.2075,0.17,hopf
fastshapelet,ts_1500,64PE406E1,S3,Mo,0.2902,0.2277,0.2093,0.2728,fold
fastshapelet,ts_1500,64PE406E1,S3,U,0.2441,0.2466,0.2425,0.2669,null
fastshapelet,ts_1500,64PE406E1,S4,Mo,0.3008,0.4595,0.1716,0.0682,hopf
fastshapelet,ts_1500,64PE406E1,S4,U,0.1827,0.5116,0.1188,0.1869,hopf
fastshapelet,ts_1500,64PE406E1,S5,Mo,0.3552,0.3203,0.2659,0.0586,fold
fastshapelet,ts_1500,64PE406E1,S5,U,0.2881,0.2722,0.259,0.1807,fold
fastshapelet,ts_1500,64PE406E1,S6,Mo,0.1118,0.4438,0.1072,0.3372,hopf
fastshapelet,ts_1500,64PE406E1,S6,U,0.1268,0.3534,0.1389,0.3809,null
fastshapelet,ts_1500,MS21,S1,Mo,0.1102,0.7377,0.1355,0.0165,hopf
fastshapelet,ts_1500,MS21,S1,U,0.0424,0.8394,0.0717,0.0465,hopf
fastshapelet,ts_1500,MS66,S3,Mo,0.3469,0.3105,0.2396,0.1029,fold
fastshapelet,ts_500,64PE406E1,S3,Mo,0.1078,0.7488,0.1138,0.0296,hopf
fastshapelet,ts_500,64PE406E1,S3,U,0.2604,0.3173,0.2154,0.2069,hopf
fastshapelet,ts_500,64PE406E1,S4,Mo,0.1305,0.6794,0.1668,0.0233,hopf
fastshapelet,ts_500,64PE406E1,S4,U,0.1409,0.6692,0.1479,0.0421,hopf
fastshapelet,ts_500,64PE406E1,S5,Mo,0.0944,0.7867,0.1029,0.016,hopf
fastshapelet,ts_500,64PE406E1,S5,U,0.105,0.7363,0.1226,0.0362,hopf
fastshapelet,ts_500,64PE406E1,S6,Mo,0.1718,0.523,0.1851,0.1202,hopf
fastshapelet,ts_500,64PE406E1,S6,U,0.2798,0.4402,0.1916,0.0884,hopf
fastshapelet,ts_500,MS21,S1,Mo,0.1842,0.4269,0.1605,0.2284,hopf
fastshapelet,ts_500,MS21,S1,U,0.1404,0.4321,0.1094,0.3181,hopf
fastshapelet,ts_500,MS66,S1,Mo,0.2252,0.3413,0.3361,0.0973,hopf
fastshapelet,ts_500,MS66,S1,U,0.1155,0.7349,0.103,0.0466,hopf
fastshapelet,ts_500,MS66,S3,Mo,0.1886,0.6239,0.1435,0.044,hopf
fastshapelet,ts_500,MS66,S3,U,0.059,0.8207,0.0731,0.0471,hopf
grsf,ts_1500,64PE406E1,S5,Mo,0.1963,0.4387,0.3325,0.0325,hopf
grsf,ts_1500,64PE406E1,S6,Mo,0.2762,0.39,0.1638,0.17,hopf
grsf,ts_1500,64PE406E1,S6,U,0.235,0.4113,0.1087,0.245,hopf
grsf,ts_500,64PE406E1,S3,Mo,0.2363,0.5288,0.2087,0.0262,hopf
grsf,ts_500,64PE406E1,S3,U,0.2425,0.4637,0.1938,0.1,hopf
grsf,ts_500,64PE406E1,S4,Mo,0.2112,0.5438,0.2025,0.0425,hopf
grsf,ts_500,64PE406E1,S4,U,0.1738,0.625,0.1413,0.06,hopf
grsf,ts_500,64PE406E1,S5,Mo,0.1812,0.5463,0.2125,0.06,hopf
grsf,ts_500,64PE406E1,S5,U,0.2888,0.3775,0.2475,0.0862,hopf
grsf,ts_500,64PE406E1,S6,Mo,0.2513,0.4313,0.2025,0.115,hopf
grsf,ts_500,64PE406E1,S6,U,0.18,0.5563,0.1187,0.145,hopf
grsf,ts_500,MS21,S1,Mo,0.3138,0.3613,0.2225,0.1025,hopf
grsf,ts_500,MS21,S1,U,0.2888,0.2288,0.18,0.3025,null
grsf,ts_500,MS66,S1,Mo,0.105,0.4213,0.425,0.0488,transcritical
grsf,ts_500,MS66,S1,U,0.1363,0.5912,0.2363,0.0363,hopf
grsf,ts_500,MS66,S3,Mo,0.2462,0.4163,0.27,0.0675,hopf
grsf,ts_500,MS66,S3,U,0.2412,0.5162,0.1413,0.1013,hopf
inceptiontime,ts_1500,64PE406E1,S3,Mo,0.7662,0.1423,0.091,0.0005,fold
inceptiontime,ts_1500,64PE406E1,S3,U,0.3615,0.474,0.1634,0.0012,hopf
inceptiontime,ts_1500,64PE406E1,S4,Mo,0.7515,0.1924,0.0558,0.0003,fold
inceptiontime,ts_1500,64PE406E1,S4,U,0.4852,0.3837,0.1297,0.0014,fold
inceptiontime,ts_1500,64PE406E1,S5,Mo,0.7599,0.0822,0.1565,0.0015,fold
inceptiontime,ts_1500,64PE406E1,S5,U,0.2324,0.3879,0.3776,0.0022,hopf
inceptiontime,ts_1500,64PE406E1,S6,Mo,0.2864,0.4077,0.2254,0.0805,hopf
inceptiontime,ts_1500,64PE406E1,S6,U,0.0727,0.8088,0.0904,0.0281,hopf
inceptiontime,ts_1500,MS21,S1,Mo,0.4394,0.4333,0.1273,0.0,fold
inceptiontime,ts_1500,MS21,S1,U,0.3267,0.5802,0.0931,0.0,hopf
inceptiontime,ts_1500,MS66,S1,Mo,0.2606,0.1627,0.5692,0.0074,transcritical
inceptiontime,ts_1500,MS66,S1,U,0.0949,0.8602,0.0448,0.0001,hopf
inceptiontime,ts_1500,MS66,S3,Mo,0.651,0.2324,0.1155,0.0011,fold
inceptiontime,ts_1500,MS66,S3,U,0.5057,0.3182,0.1747,0.0014,fold
inceptiontime,ts_500,64PE406E1,S3,Mo,0.6269,0.2349,0.1377,0.0005,fold
inceptiontime,ts_500,64PE406E1,S3,U,0.1954,0.7113,0.0891,0.0042,hopf
inceptiontime,ts_500,64PE406E1,S4,Mo,0.3409,0.5173,0.1394,0.0024,hopf
inceptiontime,ts_500,64PE406E1,S4,U,0.3501,0.408,0.2274,0.0145,hopf
inceptiontime,ts_500,64PE406E1,S5,Mo,0.252,0.6848,0.0629,0.0004,hopf
inceptiontime,ts_500,64PE406E1,S5,U,0.0838,0.83,0.0853,0.0009,hopf
inceptiontime,ts_500,64PE406E1,S6,Mo,0.2405,0.5476,0.1715,0.0403,hopf
inceptiontime,ts_500,64PE406E1,S6,U,0.145,0.691,0.1555,0.0085,hopf
inceptiontime,ts_500,MS21,S1,Mo,0.0924,0.8571,0.0505,0.0,hopf
inceptiontime,ts_500,MS21,S1,U,0.1483,0.7186,0.1329,0.0002,hopf
inceptiontime,ts_500,MS66,S1,Mo,0.0465,0.8384,0.1149,0.0003,hopf
inceptiontime,ts_500,MS66,S1,U,0.0207,0.9605,0.0182,0.0005,hopf
inceptiontime,ts_500,MS66,S3,Mo,0.3965,0.5722,0.0309,0.0005,hopf
inceptiontime,ts_500,MS66,S3,U,0.2647,0.6548,0.0787,0.0018,hopf
lps,ts_1500,64PE406E1,S3,Mo,0.2402,0.2639,0.2301,0.2657,null
lps,ts_1500,64PE406E1,S3,U,0.2472,0.2616,0.2102,0.2811,null
lps,ts_1500,64PE406E1,S4,Mo,0.2507,0.2709,0.2241,0.2543,hopf
lps,ts_1500,64PE406E1,S4,U,0.269,0.273,0.2117,0.2462,hopf
lps,ts_1500,64PE406E1,S5,Mo,0.2451,0.2459,0.275,0.234,transcritical
lps,ts_1500,64PE406E1,S5,U,0.26,0.259,0.2269,0.254,fold
lps,ts_1500,64PE406E1,S6,Mo,0.238,0.2689,0.2151,0.278,null
lps,ts_1500,64PE406E1,S6,U,0.2405,0.2802,0.2111,0.2682,hopf
lps,ts_1500,MS21,S1,Mo,0.3012,0.311,0.2466,0.1412,hopf
lps,ts_1500,MS21,S1,U,0.2354,0.2271,0.2458,0.2917,null
lps,ts_1500,MS66,S1,Mo,0.286,0.2442,0.2631,0.2066,fold
lps,ts_1500,MS66,S1,U,0.2592,0.2585,0.2038,0.2785,null
lps,ts_1500,MS66,S3,Mo,0.254,0.2406,0.2657,0.2396,transcritical
lps,ts_1500,MS66,S3,U,0.2429,0.2607,0.2128,0.2836,null
lps,ts_500,64PE406E1,S3,Mo,0.2655,0.2809,0.224,0.2296,hopf
lps,ts_500,64PE406E1,S3,U,0.2448,0.281,0.1708,0.3035,null
lps,ts_500,64PE406E1,S4,Mo,0.2643,0.2964,0.2703,0.169,hopf
lps,ts_500,64PE406E1,S4,U,0.2791,0.319,0.1896,0.2123,hopf
lps,ts_500,64PE406E1,S5,Mo,0.2622,0.2571,0.2901,0.1907,transcritical
lps,ts_500,64PE406E1,S5,U,0.2709,0.267,0.2453,0.2168,fold
lps,ts_500,64PE406E1,S6,Mo,0.2387,0.2738,0.2082,0.2792,null
lps,ts_500,64PE406E1,S6,U,0.2364,0.2862,0.2022,0.2752,hopf
lps,ts_500,MS21,S1,Mo,0.2221,0.396,0.1715,0.2104,hopf
lps,ts_500,MS21,S1,U,0.2529,0.1931,0.1636,0.3904,null
lps,ts_500,MS66,S1,Mo,0.2337,0.3092,0.3221,0.135,transcritical
lps,ts_500,MS66,S1,U,0.2657,0.2528,0.232,0.2494,fold
lps,ts_500,MS66,S3,Mo,0.247,0.278,0.2876,0.1874,transcritical
lps,ts_500,MS66,S3,U,0.2535,0.2984,0.2114,0.2367,hopf
ls,ts_500,64PE406E1,S3,Mo,1.0,0.0,0.0,0.0,fold
ls,ts_500,64PE406E1,S3,U,1.0,0.0,0.0,0.0,fold
ls,ts_500,64PE406E1,S4,Mo,1.0,0.0,0.0,0.0,fold
ls,ts_500,64PE406E1,S4,U,1.0,0.0,0.0,0.0,fold
ls,ts_500,64PE406E1,S5,Mo,1.0,0.0,0.0,0.0,fold
ls,ts_500,64PE406E1,S5,U,1.0,0.0,0.0,0.0,fold
ls,ts_500,64PE406E1,S6,Mo,1.0,0.0,0.0,0.0,fold
ls,ts_500,64PE406E1,S6,U,1.0,0.0,0.0,0.0,fold
ls,ts_500,MS21,S1,Mo,1.0,0.0,0.0,0.0,fold
ls,ts_500,MS21,S1,U,1.0,0.0,0.0,0.0,fold
ls,ts_500,MS66,S1,Mo,1.0,0.0,0.0,0.0,fold
ls,ts_500,MS66,S1,U,1.0,0.0,0.0,0.0,fold
ls,ts_500,MS66,S3,Mo,1.0,0.0,0.0,0.0,fold
ls,ts_500,MS66,S3,U,1.0,0.0,0.0,0.0,fold
lstm,ts_1500,64PE406E1,S3,Mo,0.2217,0.2316,0.5328,0.0139,transcritical
lstm,ts_1500,64PE406E1,S3,U,0.3214,0.4547,0.2195,0.0044,hopf
lstm,ts_1500,64PE406E1,S4,Mo,0.2994,0.3611,0.3379,0.0016,hopf
lstm,ts_1500,64PE406E1,S4,U,0.3354,0.2441,0.3407,0.0798,transcritical
lstm,ts_1500,64PE406E1,S5,Mo,0.4195,0.1731,0.4035,0.0039,fold
lstm,ts_1500,64PE406E1,S5,U,0.1432,0.257,0.5971,0.0027,transcritical
lstm,ts_1500,64PE406E1,S6,Mo,0.0868,0.2188,0.6841,0.0103,transcritical
lstm,ts_1500,64PE406E1,S6,U,0.0786,0.5015,0.3755,0.0444,hopf
lstm,ts_1500,MS21,S1,Mo,0.4345,0.3215,0.2407,0.0034,fold
lstm,ts_1500,MS21,S1,U,0.4338,0.4561,0.0926,0.0175,hopf
lstm,ts_1500,MS66,S1,Mo,0.0876,0.5054,0.402,0.005,hopf
lstm,ts_1500,MS66,S1,U,0.0968,0.7913,0.1106,0.0013,hopf
lstm,ts_1500,MS66,S3,Mo,0.6191,0.2712,0.1089,0.0007,fold
lstm,ts_1500,MS66,S3,U,0.2381,0.3322,0.4266,0.003,transcritical
lstm,ts_500,64PE406E1,S3,Mo,0.1638,0.3496,0.4857,0.0009,transcritical
lstm,ts_500,64PE406E1,S3,U,0.2155,0.5813,0.1682,0.035,hopf
lstm,ts_500,64PE406E1,S4,Mo,0.0886,0.1938,0.7157,0.002,transcritical
lstm,ts_500,64PE406E1,S4,U,0.1775,0.4447,0.3377,0.0402,hopf
lstm,ts_500,64PE406E1,S5,Mo,0.219,0.4337,0.3447,0.0026,hopf
lstm,ts_500,64PE406E1,S5,U,0.2466,0.5047,0.247,0.0016,hopf
lstm,ts_500,64PE406E1,S6,Mo,0.1847,0.3361,0.4557,0.0235,transcritical
lstm,ts_500,64PE406E1,S6,U,0.1362,0.3836,0.4644,0.0159,transcritical
lstm,ts_500,MS21,S1,Mo,0.1074,0.7897,0.1017,0.0012,hopf
lstm,ts_500,MS21,S1,U,0.1571,0.6177,0.1999,0.0254,hopf
lstm,ts_500,MS66,S1,Mo,0.1451,0.5536,0.2994,0.0019,hopf
lstm,ts_500,MS66,S1,U,0.1182,0.7037,0.1737,0.0044,hopf
lstm,ts_500,MS66,S3,Mo,0.2229,0.6157,0.1604,0.001,hopf
lstm,ts_500,MS66,S3,U,0.3088,0.4162,0.2719,0.003,hopf
minirocket,ts_1500,64PE406E1,S3,Mo,0.321,0.0003,0.0001,0.6785,null
minirocket,ts_1500,64PE406E1,S3,U,0.2655,0.0003,0.0001,0.7341,null
minirocket,ts_1500,64PE406E1,S4,Mo,0.2801,0.0003,0.0002,0.7194,null
minirocket,ts_1500,64PE406E1,S4,U,0.2158,0.0004,0.0002,0.7837,null
minirocket,ts_1500,64PE406E1,S5,Mo,0.3429,0.0001,0.0001,0.6568,null
minirocket,ts_1500,64PE406E1,S5,U,0.3008,0.0002,0.0001,0.6989,null
minirocket,ts_1500,64PE406E1,S6,Mo,0.1624,0.0001,0.0001,0.8374,null
minirocket,ts_1500,64PE406E1,S6,U,0.1864,0.0001,0.0001,0.8133,null
minirocket,ts_1500,MS21,S1,Mo,0.5064,0.0063,0.002,0.4853,fold
minirocket,ts_1500,MS21,S1,U,0.3006,0.0034,0.0037,0.6923,null
minirocket,ts_1500,MS66,S1,Mo,0.2467,0.0007,0.0004,0.7522,null
minirocket,ts_1500,MS66,S1,U,0.3506,0.0008,0.0005,0.6481,null
minirocket,ts_1500,MS66,S3,Mo,0.1973,0.0001,0.0001,0.8025,null
minirocket,ts_1500,MS66,S3,U,0.2744,0.0002,0.0002,0.7253,null
minirocket,ts_500,64PE406E1,S3,Mo,0.9137,0.0756,0.0025,0.0081,fold
minirocket,ts_500,64PE406E1,S3,U,0.9226,0.0561,0.0072,0.0141,fold
minirocket,ts_500,64PE406E1,S4,Mo,0.9024,0.0827,0.0055,0.0094,fold
minirocket,ts_500,64PE406E1,S4,U,0.9222,0.0532,0.0093,0.0153,fold
minirocket,ts_500,64PE406E1,S5,Mo,0.9505,0.0398,0.0026,0.007,fold
minirocket,ts_500,64PE406E1,S5,U,0.9593,0.0292,0.0026,0.0089,fold
minirocket,ts_500,64PE406E1,S6,Mo,0.9556,0.0322,0.0022,0.0099,fold
minirocket,ts_500,64PE406E1,S6,U,0.9582,0.0296,0.0022,0.01,fold
minirocket,ts_500,MS21,S1,Mo,0.7333,0.196,0.0288,0.0419,fold
minirocket,ts_500,MS21,S1,U,0.6264,0.2254,0.0601,0.0881,fold
minirocket,ts_500,MS66,S1,Mo,0.6882,0.2488,0.031,0.0319,fold
minirocket,ts_500,MS66,S1,U,0.6754,0.255,0.0359,0.0337,fold
minirocket,ts_500,MS66,S3,Mo,0.9605,0.0285,0.0036,0.0074,fold
minirocket,ts_500,MS66,S3,U,0.966,0.0242,0.0019,0.0079,fold
mrsqm,ts_1500,64PE406E1,S3,Mo,0.0079,0.4494,0.5427,0.0,transcritical
mrsqm,ts_1500,64PE406E1,S3,U,0.0012,0.511,0.4878,0.0,hopf
mrsqm,ts_1500,64PE406E1,S4,Mo,0.0009,0.1312,0.8679,0.0,transcritical
mrsqm,ts_1500,64PE406E1,S4,U,0.0,0.5299,0.47,0.0,hopf
mrsqm,ts_1500,64PE406E1,S5,Mo,0.0023,0.02,0.9777,0.0,transcritical
