series_id,dl_positive_score,y_pred,pred_class_name,final_variance_tau,final_lag1_ac_tau,final_variance,final_lag1_ac,y_true_binary,variance_tau_score,lag1_ac_tau_score
64PE406-E1_Al [mg/kg],0.25311478972435,2,class_2,0.2700452729216076,0.4819779312511431,5906384.240672718,0.8095567726773519,,0.2700452729216076,0.4819779312511431
64PE406-E1_Ba [mg/kg],0.25311478972435,2,class_2,0.4681278251414592,0.0008889352696957,6591.259004923409,0.7077057219624415,,0.4681278251414592,0.0008889352696957
64PE406-E1_Mo [mg/kg],0.25311478972435,2,class_2,0.2671944838726597,-0.4568507667644196,76.24024523507687,0.5509899185425912,,0.2671944838726597,-0.4568507667644196
64PE406-E1_Ti [mg/kg],0.25311478972435,2,class_2,0.3967205870723103,0.6005892355401267,76692.32356850953,0.8160006946133286,,0.3967205870723103,0.6005892355401267
64PE406-E1_U [mg/kg],0.25311478972435,2,class_2,0.3308524131018895,-0.7903224272308239,6.5486360286,0.2675029850319224,,0.3308524131018895,-0.7903224272308239
MS21PC_Al [mg/kg],0.25311478972435,2,class_2,-0.2696082313031244,-0.5732949715556137,9022596.874697646,0.8606983174833912,,-0.2696082313031244,-0.5732949715556137
MS21PC_Ba [mg/kg],0.25311478972435,2,class_2,0.1176812202379455,0.2764159139101923,1552.780051057429,0.3279129645648622,,0.1176812202379455,0.2764159139101923
MS21PC_Mo [mg/kg],0.25311478972435,2,class_2,0.1959619534326916,0.3891817199997413,37.05753906215089,0.6909692628921988,,0.1959619534326916,0.3891817199997413
MS21PC_Ti [mg/kg],0.25311478972435,2,class_2,-0.4124824760017331,-0.4198954775689229,72945.65669537437,0.7581729260166105,,-0.4124824760017331,-0.4198954775689229
MS21PC_U [mg/kg],0.25311478972435,2,class_2,0.224164758278405,0.1656824964089725,1.8746265110776008,0.2415510143082791,,0.224164758278405,0.1656824964089725
MS66PC_Al [mg/kg],0.25311478972435,2,class_2,0.633287298498097,0.414753700364962,20245701.033807192,0.8924941773333022,,0.633287298498097,0.414753700364962
MS66PC_Ba [mg/kg],0.25311478972435,2,class_2,0.9255021047338936,0.7695886183844824,7485.174304296132,0.7632755587532344,,0.9255021047338936,0.7695886183844824
MS66PC_Mo [mg/kg],0.25311478972435,2,class_2,0.9346522910622108,0.2926130672599455,273.72773160382866,0.7792904808957236,,0.9346522910622108,0.2926130672599455
MS66PC_Ti [mg/kg],0.25311478972435,2,class_2,0.5977446910691093,0.5653043274071775,225656.3190955632,0.9072504360599472,,0.5977446910691093,0.5653043274071775
MS66PC_U [mg/kg],0.25311478972435,2,class_2,0.9601123409178046,0.5653828652240649,16.388764438812906,0.5282766959907154,,0.9601123409178046,0.5653828652240649
